rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
11,Bel Air,49124,,4.7,252,201–250,201,250,225.5,47.23,2.953,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Bel+Air/data=!4m7!3m6!1s0x47b73e0f44eb7f6f:0x96a8b28990902889!8m2!3d52.8509816!4d8.0832414!16s%2Fg%2F1tcxc88t!19sChIJb3_rRA8-t0cRiSiQkImyqJY?authuser=0&hl=de&rclk=1
12,NINFLY Münster,48143,,4.5,2271,151–200,151,200,175.5,7.17,4.249,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/NINFLY+M%C3%BCnster/data=!4m7!3m6!1s0x47b9a52836d8a103:0xe28fa992fe9b2cbc!8m2!3d51.9355107!4d7.6356979!16s%2Fg%2F11c30rt231!19sChIJA6HYNiiluUcRvCyb_pKpj-I?authuser=0&hl=de&rclk=1
13,Brauhaus Restaurant Rheine roter hirsch,48429,,4.5,1053,151–200,151,200,175.5,14.29,4,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Brauhaus+Restaurant+Rheine+roter+hirsch/data=!4m7!3m6!1s0x47b833fe0174129d:0x9b1c9bfcf18d0489!8m2!3d52.2787481!4d7.4383796!16s%2Fg%2F11j8hhp8mg!19sChIJnRJ0Af4zuEcRiQSN8fybHJs?authuser=0&hl=de&rclk=1
14,Kochlöffel,49074,,4,411,151–200,151,200,175.5,29.92,3.102,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kochl%C3%B6ffel/data=!4m7!3m6!1s0x47b9e590d745ad85:0x3fbcb4c57827651c!8m2!3d52.2731387!4d8.0487708!16s%2Fg%2F1vpfhn4w!19sChIJha1F15DluUcRHGUneMW0vD8?authuser=0&hl=de&rclk=1
15,Marissa Resort,49163,,4.3,2773,101–150,101,150,125.5,4.33,4.157,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Marissa+Resort/data=!4m10!3m9!1s0x47b7530a54974fd1:0xcb5dc3daaccc9651!5m2!4m1!1i2!8m2!3d52.5174748!4d8.368881!16s%2Fg%2F11g2xz90zt!19sChIJ0U-XVApTt0cRUZbMrNrDXcs?authuser=0&hl=de&rclk=1
16,Beverland Gruppen-Resort,49196,,4.5,1399,101–150,101,150,125.5,8.23,4.212,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Beverland+Gruppen-Resort/data=!4m10!3m9!1s0x47b9bfb6e809eb17:0xa6707e690cf8831!5m2!4m1!1i2!8m2!3d52.0681976!4d7.8073368!16s%2Fg%2F11b6lmkdly!19sChIJF-sJ6La_uUcRMYjPkOYHZwo?authuser=0&hl=de&rclk=1
17,Pool Hall,48147,,4.6,1361,101–150,101,150,125.5,8.44,4.296,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pool+Hall/data=!4m7!3m6!1s0x47b9bad6c89bad2d:0xa914768d1d66cdba!8m2!3d51.9499459!4d7.6343025!16s%2Fg%2F1tfvs0_x!19sChIJLa2byNa6uUcRus1mHY12FKk?authuser=0&hl=de&rclk=1
18,Restaurant Athen - Apostolos & Freunde,49152,,4.8,1116,101–150,101,150,125.5,10.11,4.416,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Athen+-+Apostolos+%26+Freunde/data=!4m7!3m6!1s0x47b9f8b48bfd5e63:0xbc4d1fe42642a3d6!8m2!3d52.319528!4d8.3431534!16s%2Fg%2F1tfjzz98!19sChIJY179i7T4uUcR1qNCJuQfTbw?authuser=0&hl=de&rclk=1
19,Gasthaus Beckmann,49090,,4.7,1085,101–150,101,150,125.5,10.37,4.316,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gasthaus+Beckmann/data=!4m7!3m6!1s0x47b9e158d333883b:0xc7935a8447248f63!8m2!3d52.3606785!4d8.0322027!16s%2Fg%2F1tcydkjs!19sChIJO4gz01jhuUcRY48kR4Rak8c?authuser=0&hl=de&rclk=1
20,Hotel Lingemann,49086,,4.7,795,101–150,101,150,125.5,13.63,4.196,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Lingemann/data=!4m10!3m9!1s0x47b9e47738575bdf:0x4ab9b32ffe4188f7!5m2!4m1!1i2!8m2!3d52.3376617!4d8.0680809!16s%2Fg%2F1tftk99z!19sChIJ31tXOHfkuUcR94hB_i-zuUo?authuser=0&hl=de&rclk=1
21,Autohaus Hartmann GmbH,48167,,4.8,606,101–150,101,150,125.5,17.16,4.148,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Autohaus+Hartmann+GmbH/data=!4m7!3m6!1s0x47b9a362f93d392b:0xf342e945914b909b!8m2!3d51.9109508!4d7.6869998!16s%2Fg%2F1v42dx81!19sChIJKzk9-WKjuUcRm5BLkUXpQvM?authuser=0&hl=de&rclk=1
22,Trinkgut Bittner e.K Getränkesupermarkt,49082,,4.4,580,101–150,101,150,125.5,17.79,3.795,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Trinkgut+Bittner+e.K+Getr%C3%A4nkesupermarkt/data=!4m7!3m6!1s0x47b9e57bc29058ed:0xe9363a69c407ee3d!8m2!3d52.2629007!4d8.0708168!16s%2Fg%2F1tzztly3!19sChIJ7ViQwnvluUcRPe4HxGk6Nuk?authuser=0&hl=de&rclk=1
23,China Wok,48429,,4.6,553,101–150,101,150,125.5,18.5,3.934,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/China+Wok/data=!4m7!3m6!1s0x47b9db54b99ea525:0xfde37329a3a26e17!8m2!3d52.2905549!4d7.7216804!16s%2Fg%2F11f76s964d!19sChIJJaWeuVTbuUcRF26ioylz4_0?authuser=0&hl=de&rclk=1
24,Pavillon Grillmaster,49074,,4.7,262,101–150,101,150,125.5,32.39,3.502,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pavillon+Grillmaster/data=!4m7!3m6!1s0x47b9e5d7d00f9c49:0xf37f2a346bc4f703!8m2!3d52.2940935!4d8.0171894!16s%2Fg%2F1vq9lcz4!19sChIJSZwP0NfluUcRA_fEazQqf_M?authuser=0&hl=de&rclk=1
25,Ewige Liebe Gastro GmbH,48432,,3.7,3319,51–100,51,100,75.5,2.22,3.64,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Ewige+Liebe+Gastro+GmbH/data=!4m7!3m6!1s0x47b833ebd7eceef5:0x7b5b536cc984914d!8m2!3d52.2347217!4d7.3533303!16s%2Fg%2F11g7z6pc2f!19sChIJ9e7s1-szuEcRTZGEyWxTW3s?authuser=0&hl=de&rclk=1
26,Autohaus Brüggemann GmbH & Co. KG Rheine-Mesum,48432,,4.6,1576,51–100,51,100,75.5,4.57,4.435,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Autohaus+Br%C3%BCggemann+GmbH+%26+Co.+KG+Rheine-Mesum/data=!4m7!3m6!1s0x47b9ccec2016a277:0x490314e14f5e12d4!8m2!3d52.2372597!4d7.4771648!16s%2Fg%2F1tfbrz_l!19sChIJd6IWIOzMuUcR1BJeT-EUA0k?authuser=0&hl=de&rclk=1
27,Mezzomar Dümmer-See,49163,,3.9,1341,51–100,51,100,75.5,5.33,3.745,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Mezzomar+D%C3%BCmmer-See/data=!4m7!3m6!1s0x47b7532a200e80ef:0xc8acb9f9256903d5!8m2!3d52.5164543!4d8.3652909!16s%2Fg%2F11mtd8ksc8!19sChIJ74AOICpTt0cR1QNpJfm5rMg?authuser=0&hl=de&rclk=1
28,Made in Berlin Döner Osnabrück,49074,,4.5,1156,51–100,51,100,75.5,6.13,4.285,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Made+in+Berlin+D%C3%B6ner+Osnabr%C3%BCck/data=!4m7!3m6!1s0x47b9e590affdaf7f:0x8eede99373f0c98a!8m2!3d52.2729072!4d8.0508865!16s%2Fg%2F11f3vnsxxy!19sChIJf6_9r5DluUcRisnwc5Pp7Y4?authuser=0&hl=de&rclk=1
29,Johanniter-Gästehaus Münster,48143,,4.7,1076,51–100,51,100,75.5,6.56,4.457,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Johanniter-G%C3%A4stehaus+M%C3%BCnster/data=!4m10!3m9!1s0x47b9a533b8c75639:0x5d85fdd3cd7dbc23!5m2!4m1!1i2!8m2!3d51.9408839!4d7.6199575!16s%2Fg%2F1tj9sfrh!19sChIJOVbHuDOluUcRI7x9zdP9hV0?authuser=0&hl=de&rclk=1
30,Johanniter-Gästehaus Münster,48157,,4.7,1076,51–100,51,100,75.5,6.56,4.457,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Johanniter-G%C3%A4stehaus+M%C3%BCnster/data=!4m10!3m9!1s0x47b9a533b7cf8537:0x5d85fdd3cd7dbc23!5m2!4m1!1i2!8m2!3d51.940884!4d7.619958!16s%2Fg%2F1tj9sfrh!19sChIJN4XPtzOluUcRI7x9zdP9hV0?authuser=0&hl=de&rclk=1
31,Hotel-Restaurant Busch Atter,49074,,4.5,929,51–100,51,100,75.5,7.52,4.237,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel-Restaurant+Busch+Atter/data=!4m10!3m9!1s0x47b9e7af46f2ad21:0xb28373556556dd2e!5m2!4m1!1i2!8m2!3d52.3009567!4d7.9491972!16s%2Fg%2F1tl1g_3h!19sChIJIa3yRq_nuUcRLt1WZVVzg7I?authuser=0&hl=de&rclk=1
32,Alando Palais,48480,,4.7,809,51–100,51,100,75.5,8.54,4.384,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Alando+Palais/data=!4m7!3m6!1s0x47b9e59ba6c0f9b7:0x6db4c19ca6e91db9!8m2!3d52.2713849!4d8.0558435!16s%2Fg%2F1tqf_fdm!19sChIJt_nAppvluUcRuR3pppzBtG0?authuser=0&hl=de&rclk=1
33,Weinkrüger,49074,,4.5,747,51–100,51,100,75.5,9.18,4.179,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Weinkr%C3%BCger/data=!4m7!3m6!1s0x47b9e594e2f751db:0x720a968a5a99d360!8m2!3d52.2766132!4d8.0409964!16s%2Fg%2F1tgj7y0_!19sChIJ21H34pTluUcRYNOZWoqWCnI?authuser=0&hl=de&rclk=1
34,Edeka Schröder,49074,,4.6,725,51–100,51,100,75.5,9.43,4.26,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Edeka+Schr%C3%B6der/data=!4m7!3m6!1s0x47b9e584cd301c3b:0xd5e905f5144c21db!8m2!3d52.2680854!4d8.0553704!16s%2Fg%2F11dxf45_2n!19sChIJOxwwzYTluUcR2yFMFPUF6dU?authuser=0&hl=de&rclk=1
35,Restaurant Tatsumi,48432,,4.7,609,51–100,51,100,75.5,11.03,4.292,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Tatsumi/data=!4m7!3m6!1s0x47b9d0e39f4ed037:0x5778fd7354f67f53!8m2!3d52.3411882!4d7.6432681!16s%2Fg%2F1tdltcm_!19sChIJN9BOn-PQuUcRU3_2VHP9eFc?authuser=0&hl=de&rclk=1
36,Voxbowling,49076,,4.5,608,51–100,51,100,75.5,11.05,4.113,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Voxbowling/data=!4m7!3m6!1s0x47b9e55898cfb7d9:0xdf1f87b10d20823e!8m2!3d52.2549686!4d8.0971688!16s%2Fg%2F1tcxc95r!19sChIJ2bfPmFjluUcRPoIgDbGHH98?authuser=0&hl=de&rclk=1
37,Beachmar,49163,,4.2,597,51–100,51,100,75.5,11.23,3.841,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Beachmar/data=!4m7!3m6!1s0x47b753471b987ff1:0xa9aa518c06e1cc00!8m2!3d52.5168105!4d8.3640705!16s%2Fg%2F11fpg76d61!19sChIJ8X-YG0dTt0cRAMzhBoxRqqk?authuser=0&hl=de&rclk=1
38,Täglich Ibbenbüren,48429,,4.3,594,51–100,51,100,75.5,11.28,3.928,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/T%C3%A4glich+Ibbenb%C3%BCren/data=!4m7!3m6!1s0x47b9c5e3a1438be5:0x77ffb2140b291a94!8m2!3d52.2768003!4d7.7162961!16s%2Fg%2F11s4zjw1s7!19sChIJ5YtDoePFuUcRlBopCxSy_3c?authuser=0&hl=de&rclk=1
39,Prime - Dance & Nightlife,49214,,3.4,528,51–100,51,100,75.5,12.51,3.1,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Prime+-+Dance+%26+Nightlife/data=!4m7!3m6!1s0x47ba3ca4731024b9:0xc3801d1835791e51!8m2!3d51.97625!4d8.50119!16s%2Fg%2F1tfy_6s9!19sChIJuSQQc6Q8ukcRUR55NRgdgMM?authuser=0&hl=de&rclk=1
40,Ristorante Artusi,48143,,4.7,505,51–100,51,100,75.5,13.01,4.219,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Ristorante+Artusi/data=!4m7!3m6!1s0x47b9a4cf98ce432f:0xea798e8949bbc74d!8m2!3d51.93354!4d7.65323!16s%2Fg%2F1tk1m2d3!19sChIJL0POmM-kuUcRTce7SYmOeeo?authuser=0&hl=de&rclk=1
41,Ristorante Il Carpaccio,48167,,4.6,492,51–100,51,100,75.5,13.3,4.121,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Ristorante+Il+Carpaccio/data=!4m7!3m6!1s0x47b9a317c0d8b411:0x753e4252d3c2530a!8m2!3d51.9155123!4d7.7252975!16s%2Fg%2F1wv_r9sq!19sChIJEbTYwBejuUcRClPC01JCPnU?authuser=0&hl=de&rclk=1
42,Tante Lina,48157,,4.5,460,51–100,51,100,75.5,14.1,4.007,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Tante+Lina/data=!4m7!3m6!1s0x47b9bda2f4658585:0x3a7e3ddca7268c3a!8m2!3d51.9847789!4d7.7860612!16s%2Fg%2F1vvr59wn!19sChIJhYVl9KK9uUcROowmp9w9fjo?authuser=0&hl=de&rclk=1
43,Gasthof Kolpinghaus - Georgsmarienhütte,49086,,4.6,438,51–100,51,100,75.5,14.7,4.071,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gasthof+Kolpinghaus+-+Georgsmarienh%C3%BCtte/data=!4m10!3m9!1s0x47b9eefb02435e79:0x88ecb6b5adf1da2c!5m2!4m1!1i2!8m2!3d52.2080925!4d8.0354171!16s%2Fg%2F1tyyw6hv!19sChIJeV5DAvvuuUcRLNrxrbW27Ig?authuser=0&hl=de&rclk=1
44,Drahtesel,48143,,4.7,423,51–100,51,100,75.5,15.15,4.14,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Drahtesel/data=!4m7!3m6!1s0x47b9badc72cd697d:0xfdaa5f44fb642b08!8m2!3d51.9601565!4d7.6344463!16s%2Fg%2F1hc1snsd8!19sChIJfWnNcty6uUcRCCtk-0Rfqv0?authuser=0&hl=de&rclk=1
45,MONCHERI café bar lounge,49074,,4.6,379,51–100,51,100,75.5,16.61,4.002,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/MONCHERI+caf%C3%A9+bar+lounge/data=!4m7!3m6!1s0x47b9e56a382f8425:0x24989fc94d7ab759!8m2!3d52.2869312!4d8.0383654!16s%2Fg%2F11gtggp7hg!19sChIJJYQvOGrluUcRWbd6TcmfmCQ?authuser=0&hl=de&rclk=1
46,Weinstube JODUCUS,48480,,4.7,357,51–100,51,100,75.5,17.46,4.054,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Weinstube+JODUCUS/data=!4m7!3m6!1s0x47b9e58564d3f2ff:0xbc60edea794be82e!8m2!3d52.266223!4d8.050293!16s%2Fg%2F1ty73cdl!19sChIJ__LTZIXluUcRLuhLeertYLw?authuser=0&hl=de&rclk=1
47,Restaurant Einklang/Hotel Alte Post,48268,,4.7,346,51–100,51,100,75.5,17.91,4.037,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Einklang%2FHotel+Alte+Post/data=!4m10!3m9!1s0x47b995f45df35d33:0xa7b5fda54a645f6c!5m2!4m1!1i2!8m2!3d52.0361084!4d7.8403576!16s%2Fg%2F1vvr59vn!19sChIJM13zXfSVuUcRbF9kSqX9tac?authuser=0&hl=de&rclk=1
48,Restaurant Dionysos,49086,,4.7,345,51–100,51,100,75.5,17.95,4.036,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Dionysos/data=!4m7!3m6!1s0x47b9e558bbbcd1c1:0xfe673af8ac042787!8m2!3d52.25524!4d8.09675!16s%2Fg%2F1tcv0jn3!19sChIJwdG8u1jluUcRhycErPg6Z_4?authuser=0&hl=de&rclk=1
49,Antep Grill,48149,,4.7,335,51–100,51,100,75.5,18.39,4.019,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Antep+Grill/data=!4m7!3m6!1s0x47b9a4b97c338439:0x303a25d1b1f69b26!8m2!3d51.9287216!4d7.6678136!16s%2Fg%2F11b8zr98sn!19sChIJOYQzfLmkuUcRJpv2sdElOjA?authuser=0&hl=de&rclk=1
50,Hans&Franz,48145,,4.7,305,51–100,51,100,75.5,19.84,3.966,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hans%26Franz/data=!4m7!3m6!1s0x47b9bb0e28d8c39b:0xb867f9ce55fa0ba4!8m2!3d51.9565626!4d7.6429643!16s%2Fg%2F11j90r_y7s!19sChIJm8PYKA67uUcRpAv6Vc75Z7g?authuser=0&hl=de&rclk=1
51,Der Dorf Grill,48155,,4.4,275,51–100,51,100,75.5,21.54,3.668,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Der+Dorf+Grill/data=!4m7!3m6!1s0x47b9a33b756530e9:0xa504eb845e54dee!8m2!3d51.9234458!4d7.7255586!16s%2Fg%2F1tslhty2!19sChIJ6TBldTujuUcR7k3lRbhOUAo?authuser=0&hl=de&rclk=1
52,PULS | Deine Eventlocation in Münster,48143,,4.7,274,51–100,51,100,75.5,21.6,3.901,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/PULS+%7C+Deine+Eventlocation+in+M%C3%BCnster/data=!4m7!3m6!1s0x47b9bb60c912d485:0x88a2919867097688!8m2!3d51.9504147!4d7.6343932!16s%2Fg%2F11k7lnvn3f!19sChIJhdQSyWC7uUcRiHYJZ5iRoog?authuser=0&hl=de&rclk=1
53,Hotel Neustadt,49074,,4.5,235,51–100,51,100,75.5,24.32,3.649,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Neustadt/data=!4m10!3m9!1s0x47b9e58193c70217:0xd0855b1954d9fe61!5m2!4m1!1i2!8m2!3d52.26133!4d8.06022!16s%2Fg%2F1tfkvdrf!19sChIJFwLHk4HluUcRYf7ZVBlbhdA?authuser=0&hl=de&rclk=1
54,La Viola,49134,,4.6,207,51–100,51,100,75.5,26.73,3.638,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/La+Viola/data=!4m7!3m6!1s0x47b9e6af329c31f9:0x348cf7eb730f3c4a!8m2!3d52.3364619!4d8.0209627!16s%2Fg%2F11cjkvq84t!19sChIJ-TGcMq_muUcRSjwPc-v3jDQ?authuser=0&hl=de&rclk=1
55,Kochlöffel,48429,,3.9,190,51–100,51,100,75.5,28.44,3.075,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kochl%C3%B6ffel/data=!4m7!3m6!1s0x47b832b797e787c7:0xfde3c55d01bd6677!8m2!3d52.2783652!4d7.4410314!16s%2Fg%2F11c60617b6!19sChIJx4fnl7cyuEcRd2a9AV3F4_0?authuser=0&hl=de&rclk=1
56,Dila KEBAPHAUS,48432,,4.6,187,51–100,51,100,75.5,28.76,3.565,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Dila+KEBAPHAUS/data=!4m7!3m6!1s0x47b9cf587f3e4097:0x6bf40f2b95881e57!8m2!3d52.2722967!4d7.5839412!16s%2Fg%2F11h7wr2_ys!19sChIJl0A-f1jPuUcRVx6IlSsP9Gs?authuser=0&hl=de&rclk=1
57,XIAO Münster,48143,,4.6,2658,21–50,21,50,35.5,1.32,4.553,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/XIAO+M%C3%BCnster/data=!4m7!3m6!1s0x47b9bbc981c1dcf3:0x33d8d598c0967d72!8m2!3d51.9500466!4d7.6373987!16s%2Fg%2F11y57fc_wy!19sChIJ89zBgcm7uUcRcn2WwJjV2DM?authuser=0&hl=de&rclk=1
